address,latitude,longitude,visit_count,type
René-Lévesque / Papineau,45.5209208,-73.5499048,1360,average
Beaubien / 8e avenue,45.553457,-73.587842,1167,average
St-Antoine / Jean-Paul Riopelle,45.5029397,-73.5606404,1475,average
Édouard-Montpetit / de Stirling,45.50723,-73.615085,2185,average
Regina / de Verdun,45.467369,-73.570769,1020,average
Parc Père-Marquette (Chambord / Rosemont),45.537088,-73.593219,2348,average
16e avenue / St-Joseph,45.55287,-73.565631,1159,average
Casgrain / St-Viateur,45.527513,-73.598791,1045,average
Métro Pie-IX (Pierre-de-Coubertin / Desjardins),45.5543734,-73.5513747,2458,average
Queen / Wellington,45.497605,-73.55535,1175,average
Waverly / St-Viateur,45.523856,-73.600127,2398,average
Cartier / Marie-Anne,45.532674,-73.571776,2565,average
Métro Sauvé (Berri / Sauvé),45.550692,-73.656367,1442,average
Ste-Catherine / St-Clément,45.5567173,-73.5302496,1030,average
Atateken / du Square Amherst,45.5206338,-73.563906,2775,average
Ste-Catherine / Sanguinet,45.5128938,-73.5612479,1714,average
Drummond / Sherbrooke,45.5003924,-73.578168,1313,average
Parc du Pélican (2e avenue / St-Joseph),45.544513,-73.571564,1047,average
de Castelnau / Lajeunesse,45.5403962,-73.6168179,1279,average
de Maisonneuve / Mansfield (sud-est),45.5022935,-73.5733064,1521,average
Place des Festivals ( du Président-Kennedy / de Bleury),45.5076439,-73.569324,2210,average
La Tour de Montréal (Pierre-de-Coubertin / Bennett),45.5597053,-73.5515544,1713,average
Aylwin / Ontario,45.544284,-73.54534,2961,average
Gilford / des Érables,45.5375266,-73.5751244,1266,average
André-Laurendeau / Rachel,45.5428981,-73.561846,2413,average
Laurier / de Bordeaux,45.537205,-73.579254,2044,average
Parc Chamberland (Dorais / de l'Église),45.502989,-73.689113,154,low
Bloomfield / Ball,45.5299594,-73.632946,969,low
Brittany / Ainsley,45.5258899,-73.6500344,402,low
Parc Beaulac (rue Élizabeth),45.5200557,-73.6779515,88,low
de Grenoble / de Cassis,45.5788972,-73.7049271,56,low
Lamarre / Lavallée,45.5337477,-73.4859958,86,low
Natatorium (LaSalle / Rolland),45.444547,-73.575091,748,low
Parc du Bois-Franc (de l'Équateur / des Andes),45.5131776,-73.7130609,178,low
University / Milton,45.506511,-73.576669,256,low
Palm / St-Rémi,45.470366,-73.589816,157,low
Métro Champ-de-Mars (Viger / Sanguinet),45.510351,-73.556508,365,low
du Canal / McLaughlin,45.4297026,-73.6694868,737,low
De Callières / d'Auvergne,45.593422,-73.6690217,71,low
Industriel / Louis-J.-Lafortune,45.5819096,-73.4552991,12,low
Parc MacDonald (Clanranald / Isabella),45.4826927,-73.6348128,415,low
du Tricentenaire / Prince-Albert,45.649546,-73.491916,62,low
Duchesneau / de Marseille,45.6096263,-73.522739,199,low
Parc Laurier (Laurier / Dubuc),45.5336105,-73.4737462,84,low
de Mortagne / Jean-Neveu,45.5692375,-73.449499,24,low
de l'Hotel-de-Ville / Ontario,45.5137452,-73.5666633,938,low
Pierre-Péladeau / du Centropolis,45.5625118,-73.7437065,108,low
des Ormeaux / de Grosbois,45.6059017,-73.5343695,234,low
Bassin olympique (Chemin du Chenal le Moyne),45.5169025,-73.5272455,348,low
Parc Ernest-Rouleau (Gouin),45.6313127,-73.616315,118,low
Parc Ottawa (de Belleville / Fleury),45.58116,-73.6412434,132,low
Plymouth / Chem.Eden,45.5064888,-73.6604789,194,low
Robert-Bourassa / René-Lévesque,45.5021829,-73.5682538,932,low
du Parc / François-Foucault,45.6057854,-73.66274,66,low
Bloomfield / Jean-Talon,45.5274603,-73.6241752,161,low
Parc Champdoré (Champdoré / de Lille),45.5691762,-73.6362934,407,low
Cartier / Gillford,45.535288,-73.5773814,354,low
St-Jacques / Vinet,45.485329,-73.5769227,513,low
Bibliothèque du Boisé (Thimens / Todd),45.504635,-73.704432,13,low
Parc St-Henri (Laporte / Guay),45.4801338,-73.5859081,517,low
Maisonneuve / Wood,45.4881979,-73.5880705,403,low
Chabanel / du Parc,45.538308,-73.654884,806,low
Parc LaSalle (10e avenue / Victoria),45.4380555,-73.6727393,118,low
Parc St-Claude (8e rue / 7e avenue),45.5622343,-73.6916762,34,low
du Havre / de Rouen,45.534563,-73.554787,825,low
de Melrose / Sherbrooke,45.46982,-73.616961,730,low
Mozart / François-Foucault,45.604288,-73.6649179,13,low
Notre-Dame / St-Gabriel,45.507144,-73.555119,845,low
Jardin Botanique dépôt fierté (Sherbrooke / Pie-IX),45.5567924,-73.554647,2,low
Dixie / 54e avenue,45.4433803,-73.7178916,78,low
Parc St-Laurent (Salk / Thomas-Chapais),45.6062348,-73.6287838,53,low
St-Timothé / Robin,45.5186318,-73.5611299,3,low
de Gaspé / de Liège,45.542485,-73.636342,866,low
Parc Ivan-Franko (33e avenue / Victoria),45.43746,-73.6935318,6,low
Langelier / Marie-Victorin,45.6145192,-73.6122447,95,low
McNamara / St-Martin O,45.5712036,-73.7235188,70,low
